0.266184 -1 0.225174 -0.887222 0.173912 -0.769319 0.117523 -0.661667 0.0457553 -0.564269 -0.0362648 -0.461744 -0.13879 -0.405355 -0.266946 -0.436112 -0.328461 -0.54889 -0.272072 -0.666794 -0.154169 -0.738561 -0.0157598 -0.728309 0.112397 -0.641162 0.220048 -0.559142 0.302068 -0.471996 , 1 0 0 0 0
0.216765 -1 0.182848 -0.923687 0.123494 -0.834656 0.0471811 -0.758343 -0.0333713 -0.68203 -0.113924 -0.622676 -0.219914 -0.597238 -0.236872 -0.694749 -0.224153 -0.804978 -0.130882 -0.838895 -0.0121733 -0.843135 0.0895771 -0.817697 0.157411 -0.749864 0.199807 -0.652353 0.250682 -0.57604 , 1 0 0 0 0
0.181895 -1 0.142932 -0.913414 0.0953097 -0.826829 0.0520168 -0.740243 0.0130532 -0.653657 -0.0475568 -0.593047 -0.125484 -0.536766 -0.21207 -0.506461 -0.21207 -0.610364 -0.177435 -0.701279 -0.0865204 -0.735913 0.0303704 -0.740243 0.125615 -0.709938 0.181895 -0.644998 0.207871 -0.584388 , 1 0 0 0 0
0.137333 -0.991637 0.124789 -0.920554 0.0997006 -0.841108 0.0662496 -0.761662 0.0160732 -0.698941 -0.042466 -0.640402 -0.101005 -0.594407 -0.163726 -0.627858 -0.167907 -0.732392 -0.155363 -0.820201 -0.0675542 -0.832745 0.0118918 -0.774206 0.0746124 -0.728211 0.137333 -0.678034 0.162421 -0.611132 , 1 0 0 0 0
0.213273 -0.996022 0.181449 -0.932375 0.137692 -0.860772 0.0820006 -0.785191 0.0183535 -0.721544 -0.0612053 -0.669831 -0.156676 -0.634029 -0.212367 -0.685742 -0.216345 -0.785191 -0.140764 -0.828948 -0.0492715 -0.813037 0.0223315 -0.761323 0.0740447 -0.697676 0.129736 -0.634029 0.153604 -0.586294 , 1 0 0 0 0
0.229806 -0.995955 0.17317 -0.919092 0.116534 -0.826047 0.0598982 -0.733003 -0.0169646 -0.648049 -0.101918 -0.575232 -0.203054 -0.534778 -0.247553 -0.623777 -0.207099 -0.728957 -0.130236 -0.797729 -0.0169646 -0.826047 0.0437166 -0.757275 0.100352 -0.664231 0.165079 -0.587368 0.245987 -0.534778 , 1 0 0 0 0
0.18545 -1 0.157789 -0.917019 0.118274 -0.84194 0.0590016 -0.766862 -0.00817387 -0.68388 -0.0793008 -0.616705 -0.154379 -0.624608 -0.185991 -0.711541 -0.174137 -0.810328 -0.118816 -0.865649 -0.0318829 -0.861698 0.0392441 -0.802425 0.0906136 -0.73525 0.145935 -0.668074 0.201256 -0.616705 , 1 0 0 0 0
0.175573 -0.99622 0.152893 -0.93952 0.111313 -0.871481 0.0697335 -0.799661 0.0205938 -0.742962 -0.0512257 -0.690042 -0.126825 -0.644682 -0.149505 -0.724062 -0.153285 -0.814781 -0.115485 -0.871481 -0.0474458 -0.882821 0.00547391 -0.811001 0.0508336 -0.742962 0.0924134 -0.678702 0.133993 -0.622002 , 1 0 0 0 0
0.15095 -0.996414 0.125852 -0.92829 0.0899964 -0.856579 0.0469702 -0.781284 -0.00681248 -0.702402 -0.0570097 -0.634278 -0.125134 -0.652205 -0.164575 -0.72033 -0.157404 -0.802797 -0.107207 -0.852994 -0.0390821 -0.820724 0.0290427 -0.766942 0.0828254 -0.716744 0.136608 -0.655791 0.186805 -0.605593 , 1 0 0 0 0
0.135334 -0.996278 0.116722 -0.918107 0.0869427 -0.839937 0.0497187 -0.761766 0.00132737 -0.69104 -0.0545087 -0.646371 -0.132679 -0.657539 -0.173626 -0.72082 -0.169903 -0.795268 -0.106622 -0.854826 -0.0210071 -0.865993 0.0422738 -0.825047 0.0981099 -0.772933 0.142779 -0.709652 0.180003 -0.653816 , 1 0 0 0 0
0.121401 -1 0.107207 -0.94322 0.0788166 -0.88644 0.0504267 -0.840307 0.00784185 -0.804819 -0.048938 -0.779978 -0.105718 -0.794173 -0.151851 -0.840307 -0.141205 -0.882892 -0.0844254 -0.904184 -0.0205481 -0.893538 0.0255855 -0.861599 0.0717191 -0.826112 0.0930116 -0.765783 0.107207 -0.709003 , 1 0 0 0 0
0.166273 -1 0.137653 -0.924872 0.105455 -0.846166 0.0589472 -0.771038 -0.00187069 -0.692333 -0.0662661 -0.642248 -0.130662 -0.685178 -0.173592 -0.760306 -0.173592 -0.853321 -0.0984638 -0.889097 -0.0376459 -0.842589 0.0339046 -0.788926 0.0875674 -0.731686 0.130498 -0.663713 0.16985 -0.592162 , 1 0 0 0 0
0.23838 -1 0.196849 -0.909387 0.140216 -0.822549 0.0609296 -0.743263 -0.0296836 -0.667752 -0.146726 -0.622445 -0.233563 -0.645098 -0.259992 -0.76214 -0.237339 -0.879182 -0.135399 -0.916938 -0.0221325 -0.890509 0.0684807 -0.8301 0.143992 -0.754589 0.208176 -0.675303 0.215727 -0.577138 , 1 0 0 0 0
0.181975 -1 0.135271 -0.93174 0.0849741 -0.859887 0.0310846 -0.791627 -0.0299901 -0.716182 -0.0838795 -0.662293 -0.134176 -0.719775 -0.173695 -0.79522 -0.16651 -0.892221 -0.101843 -0.938925 -0.0120269 -0.938925 0.0382699 -0.881443 0.0993446 -0.816776 0.146049 -0.759294 0.17479 -0.680256 , 1 0 0 0 0
0.179993 -1 0.137598 -0.929342 0.0916705 -0.841019 0.0563413 -0.752696 0.00334762 -0.667906 -0.0779094 -0.621978 -0.169765 -0.646709 -0.208627 -0.731499 -0.18743 -0.826887 -0.109706 -0.872815 -0.0249157 -0.848085 0.0386768 -0.780959 0.102269 -0.713834 0.158796 -0.657307 0.225921 -0.614912 , 1 0 0 0 0
0.136039 -0.996494 0.136039 -0.901824 0.0939636 -0.81066 0.0448755 -0.719497 -0.0112252 -0.631839 -0.0848574 -0.582751 -0.161996 -0.628333 -0.197059 -0.726509 -0.18654 -0.835204 -0.11992 -0.891305 -0.0252504 -0.863255 0.0483818 -0.800141 0.104483 -0.719497 0.164089 -0.631839 0.227203 -0.568726 , 1 0 0 0 0
0.240004 -1 0.193504 -0.93025 0.139253 -0.848875 0.0733782 -0.771374 -0.000247013 -0.689999 -0.0738722 -0.624124 -0.151372 -0.593124 -0.197873 -0.678374 -0.221123 -0.775249 -0.166873 -0.83725 -0.0622472 -0.821749 0.0268781 -0.779124 0.112128 -0.732624 0.174129 -0.666749 0.216754 -0.596999 , 1 0 0 0 0
0.207016 -0.992137 0.171632 -0.90564 0.112657 -0.811281 0.0379555 -0.724785 -0.0485408 -0.654015 -0.138969 -0.598972 -0.21367 -0.630425 -0.23726 -0.740511 -0.209738 -0.846666 -0.107515 -0.882051 0.010434 -0.882051 0.0969303 -0.830939 0.151973 -0.752306 0.218811 -0.66581 0.293513 -0.610767 , 1 0 0 0 0
0.223804 -0.996246 0.193772 -0.909904 0.14497 -0.819808 0.0811523 -0.729712 0.00982626 -0.665894 -0.0802698 -0.602076 -0.170366 -0.583306 -0.226676 -0.654632 -0.207906 -0.740974 -0.147842 -0.816054 -0.0614998 -0.853594 0.0248423 -0.8123 0.10743 -0.763498 0.152478 -0.684664 0.178756 -0.58706 , 1 0 0 0 0
0.125033 -1 0.109778 -0.912286 0.0868961 -0.832198 0.0373184 -0.748298 -0.027514 -0.687279 -0.103787 -0.65677 -0.176247 -0.69872 -0.199129 -0.778807 -0.160992 -0.862708 -0.0999738 -0.900845 -0.016073 -0.877963 0.0563867 -0.832198 0.128846 -0.778807 0.186052 -0.725416 0.228002 -0.65677 , 1 0 0 0 0
-0.254761 0.183066 -0.254761 -0.0311899 -0.23613 -0.23613 -0.2175 -0.42244 -0.180238 -0.618065 -0.152291 -0.823006 -0.0684518 -0.953423 0.108542 -0.990685 0.192382 -0.850952 0.108542 -0.729851 0.117858 -0.646012 0.248275 -0.562172 0.285536 -0.385178 0.15512 -0.301339 -0.0125589 -0.245446 , 0 1 0 0 0
-0.0816213 0.0727964 -0.11413 -0.0816213 -0.130385 -0.252293 -0.146639 -0.406711 -0.138512 -0.601765 -0.122257 -0.780564 -0.0816213 -0.926855 0.0240329 -1 0.105305 -0.886219 0.0727964 -0.739928 -0.0166033 -0.634274 0.137814 -0.634274 0.202832 -0.520493 0.137814 -0.382329 0.0240329 -0.325439 , 0 1 0 0 0
-0.187618 0.784779 -0.175309 0.538603 -0.187618 0.2555 -0.224544 -0.00298554 -0.224544 -0.27378 -0.212235 -0.556882 -0.138383 -0.79075 -0.0276032 -0.975382 0.14472 -0.901529 0.193956 -0.655353 0.0585586 -0.48303 0.206264 -0.37225 0.329353 -0.187618 0.218573 -0.00298554 0.095485 0.14472 , 0 1 0 0 0
-0.0797756 0.0980829 -0.0797756 -0.0565766 -0.0952415 -0.226702 -0.110707 -0.373629 -0.110707 -0.55922 -0.110707 -0.737079 -0.110707 -0.899471 -0.0411107 -1 0.074884 -0.945869 0.0980829 -0.798943 0.067151 -0.652016 0.0284861 -0.55922 0.159947 -0.520555 0.129015 -0.381362 0.0284861 -0.311765 , 0 1 0 0 0
-0.130145 1 -0.121451 0.800051 -0.147531 0.600103 -0.164918 0.382767 -0.182305 0.174125 -0.182305 -0.0258235 -0.138838 -0.217079 -0.0345169 -0.338787 0.121965 -0.269239 0.130658 -0.0953708 0.0437239 0.026337 0.217592 0.0698041 0.200205 0.252366 0.113271 0.374074 -0.0345169 0.443621 , 0 1 0 0 0
